Seq EC50_1 EC50_2 EC50_mean EC50_std
JUNK 1.17 1.92 1.55 0.53
wtNDM-1 551 689 620 98
wtVIM-2 389 359 374 21
Flat1_20% 1.70 1.97 1.84 0.19
Flat1_40% 1.52 1.50 1.51 0.01
Flat1_60% 1.44 1.39 1.42 0.04
Flat1_80% 1.30 1.19 1.25 0.08
Flat2_20% 3.80 3.66 3.73 0.10
Flat2_40% 1.45 1.47 1.46 0.02
Flat2_60% 1.47 1.49 1.48 0.01
Flat2_80% 1.53 1.63 1.58 0.08
GreedyNDM-VIM_20% 1.88 1.68 1.78 0.14
GreedyNDM-VIM_40% 1.52 1.55 1.53 0.02
GreedyNDM-VIM_60% 1.46 1.51 1.49 0.04
GreedyNDM-VIM_80% 1.66 1.64 1.65 0.01
GreedyVIM-NDM_20% 2.50 2.17 2.33 0.23
GreedyVIM-NDM_40% 1.47 1.64 1.55 0.12
GreedyVIM-NDM_60% 1.38 1.38 1.38 0.00
GreedyVIM-NDM_80% 1.69 1.51 1.60 0.13
MeanE1_20% 8.75 10.16 9.46 0.99
MeanE1_40% 1.40 1.25 1.32 0.11
MeanE1_60% 1.54 1.84 1.69 0.21
MeanE1_80% 1.84 1.48 1.66 0.26
MeanE2_20% 1.88 1.88 1.88 0.00
MeanE2_40% 1.51 1.61 1.56 0.08
MeanE2_60% 1.46 1.48 1.47 0.01
MeanE2_80% 1.46 1.84 1.65 0.27
